feature,mean_importance
feature_2205,-4.533596246265592e-05
feature_11573,-4.511925535485295e-05
feature_7523,-4.483252546866323e-05
feature_17232,-4.470546384778284e-05
feature_16951,-4.4553867508223546e-05
feature_23229,-4.4459344148140015e-05
feature_11277,-4.4309076050808025e-05
feature_23917,-4.417269848105976e-05
feature_2846,-4.410578334970161e-05
feature_5323,-4.392645941003748e-05
feature_6617,-4.3566009167084195e-05
feature_14325,-4.334137168645613e-05
feature_16451,-4.33201704474695e-05
feature_22880,-4.290432801010713e-05
feature_18493,-4.271154713312297e-05
feature_23436,-4.262802498686824e-05
feature_6708,-4.249249448731174e-05
feature_22299,-4.169669430805767e-05
feature_11482,-4.1611585327350206e-05
feature_21430,-4.134816843465172e-05
feature_13773,-4.1336010320314195e-05
feature_4608,-4.053216938008086e-05
feature_16699,-4.017109991582002e-05
feature_970,-3.9782005982536006e-05
feature_9416,-3.95081592117541e-05
feature_8428,-3.948448097365054e-05
feature_11739,-3.9410695590369474e-05
feature_7432,-3.933285476418469e-05
feature_2891,-3.918665582527403e-05
feature_24219,-3.9132788206763805e-05
feature_17072,-3.8478413573173056e-05
feature_481,-3.833492792560955e-05
feature_12940,-3.8329233806833064e-05
feature_4717,-3.7931065710250514e-05
feature_13234,-3.75367935387394e-05
feature_21967,-3.7137347917104435e-05
feature_19456,-3.6908725056161716e-05
feature_23597,-3.667699802155644e-05
feature_19887,-3.644302444392178e-05
feature_10168,-3.6405489630453316e-05
feature_19202,-3.560403923595912e-05
feature_16155,-3.5299068623273475e-05
feature_8051,-3.52700134353845e-05
feature_7236,-3.5178299386173785e-05
feature_12547,-3.4002766513796524e-05
feature_17837,-3.359413496608621e-05
feature_15202,-3.341088421782157e-05
feature_11862,-3.340594963764376e-05
feature_19412,-3.306868739310076e-05
feature_5804,-3.304699172315129e-05
feature_9257,-3.2961100953099455e-05
feature_17862,-3.294967853693098e-05
feature_14931,-3.264020505815424e-05
feature_24136,-3.242726760693815e-05
feature_19895,-3.221879302409691e-05
feature_7648,-3.2218038905440503e-05
feature_20302,-3.2036158876602713e-05
feature_22994,-3.190701156398079e-05
feature_22575,-3.184932704307642e-05
feature_22435,-3.1766288640366905e-05
feature_14330,-3.165992719220689e-05
feature_14403,-3.1355838406677e-05
feature_1308,-3.1302581405834304e-05
feature_2679,-3.109076346722306e-05
feature_13687,-3.0902233021401494e-05
feature_10514,-3.063504818131557e-05
feature_7654,-3.0609319994490125e-05
feature_12317,-3.0366565324446703e-05
feature_12216,-2.9808820831400683e-05
feature_12161,-2.969245335155968e-05
feature_10501,-2.9614476846906435e-05
feature_11527,-2.9549048245469666e-05
feature_11574,-2.9521903566831488e-05
feature_5774,-2.9178953194186617e-05
feature_4169,-2.915531003861993e-05
feature_1039,-2.9003043630881907e-05
feature_7503,-2.8927146754387233e-05
feature_20470,-2.864573194574227e-05
feature_14735,-2.8622603852668238e-05
feature_23723,-2.8374106300044223e-05
feature_5870,-2.8033168830121637e-05
feature_21195,-2.7982926250169626e-05
feature_2363,-2.7953014263826236e-05
feature_8096,-2.7753620795778478e-05
feature_14955,-2.755447789304366e-05
feature_7169,-2.7522598712370617e-05
feature_4313,-2.7489616998910284e-05
feature_6155,-2.747907401805527e-05
feature_16130,-2.7294715999781616e-05
feature_10136,-2.728249595577159e-05
feature_13564,-2.704512821483096e-05
feature_15231,-2.6247971952664262e-05
feature_2772,-2.6184168056653245e-05
feature_22121,-2.6139000931990618e-05
feature_7680,-2.6086666973557104e-05
feature_23981,-2.603452792426797e-05
feature_14491,-2.601438383684762e-05
feature_6481,-2.5944030957203436e-05
feature_4337,-2.573065026888477e-05
